"Time","loss","risk","crash","collapse","recession","debt","bankruptcy"
"2017-12-01",35,17,32,3,1,11,4
"2018-01-01",44,18,29,3,1,12,4
"2018-02-01",43,20,34,3,1,13,5
"2018-03-01",42,21,31,9,1,13,5
"2018-04-01",42,20,35,3,1,13,5
"2018-05-01",41,19,32,3,1,12,5
"2018-06-01",40,17,27,3,1,11,4
"2018-07-01",43,17,30,4,1,11,4
"2018-08-01",38,17,30,6,1,11,4
"2018-09-01",39,20,26,4,1,12,4
"2018-10-01",39,21,38,4,1,13,5
"2018-11-01",35,20,31,3,1,12,4
"2018-12-01",37,18,27,3,2,11,4
"2019-01-01",44,19,28,3,2,14,5
"2019-02-01",42,20,29,3,1,13,5
"2019-03-01",39,21,38,4,2,13,4
"2019-04-01",41,22,26,4,2,13,4
"2019-05-01",38,21,28,3,1,13,4
"2019-06-01",40,18,32,3,1,12,4
"2019-07-01",39,18,28,3,1,12,4
"2019-08-01",38,17,28,4,5,12,5
"2019-09-01",36,20,28,4,3,13,5
"2019-10-01",39,23,27,4,2,13,5
"2019-11-01",39,22,25,3,2,12,5
"2019-12-01",36,18,32,3,2,12,4
"2020-01-01",44,20,60,3,1,13,5
"2020-02-01",43,23,50,3,2,14,5
"2020-03-01",35,31,36,4,9,13,4
"2020-04-01",42,26,32,3,5,14,5
"2020-05-01",47,23,32,3,3,13,7
"2020-06-01",45,22,29,3,2,12,5
"2020-07-01",47,23,27,3,2,12,5
"2020-08-01",43,23,30,3,2,12,4
"2020-09-01",45,25,26,3,2,12,4
"2020-10-01",45,24,27,3,1,12,3
"2020-11-01",41,22,25,3,2,11,3
"2020-12-01",41,20,26,3,1,11,3
"2021-01-01",47,21,26,3,1,12,3
"2021-02-01",46,21,28,3,1,12,3
"2021-03-01",48,27,28,3,1,13,3
"2021-04-01",45,24,27,3,1,11,3
"2021-05-01",45,21,29,3,1,11,3
"2021-06-01",45,20,27,23,1,11,3
"2021-07-01",44,19,27,14,1,10,2
"2021-08-01",43,19,25,3,1,10,2
"2021-09-01",42,23,24,4,1,12,2
"2021-10-01",43,22,25,3,1,12,2
"2021-11-01",43,23,23,3,1,11,2
"2021-12-01",39,20,26,3,1,11,2
"2022-01-01",46,23,27,5,1,11,2
"2022-02-01",47,26,27,4,1,12,2
"2022-03-01",50,30,29,4,2,13,2
"2022-04-01",46,27,26,3,3,13,2
"2022-05-01",44,23,26,4,5,12,2
"2022-06-01",42,22,27,3,8,12,3
"2022-07-01",43,20,27,3,8,11,2
"2022-08-01",40,21,32,4,4,13,3
"2022-09-01",43,23,26,4,4,12,2
"2022-10-01",42,23,25,4,5,14,2
"2022-11-01",45,24,28,4,5,12,3
"2022-12-01",41,22,23,3,3,11,2
"2023-01-01",49,22,32,5,4,14,3
"2023-02-01",50,26,29,4,3,13,3
"2023-03-01",47,25,29,9,3,14,3
"2023-04-01",47,24,26,5,3,13,3
"2023-05-01",46,23,25,4,3,23,3
"2023-06-01",47,23,30,7,2,16,3
"2023-07-01",46,21,28,4,2,12,3
"2023-08-01",43,22,29,4,2,12,3
"2023-09-01",44,24,30,4,2,13,3
"2023-10-01",44,25,24,3,2,13,3
"2023-11-01",46,27,25,4,2,12,3
"2023-12-01",44,21,27,4,2,12,3
"2024-01-01",50,24,36,3,1,13,3
"2024-02-01",48,28,29,4,3,14,3
"2024-03-01",49,27,29,16,2,14,3
"2024-04-01",47,27,27,4,2,15,3
"2024-05-01",47,26,29,4,2,13,3
"2024-06-01",45,24,27,4,1,13,3
"2024-07-01",44,24,29,3,1,13,3
"2024-08-01",43,24,34,4,3,13,3
"2024-09-01",46,28,26,4,2,13,3
"2024-10-01",45,29,26,4,1,14,3
"2024-11-01",43,26,27,4,2,15,3
"2024-12-01",45,24,38,4,1,13,3
"2025-01-01",50,29,55,4,1,16,3
"2025-02-01",51,33,65,4,2,18,4
"2025-03-01",51,30,32,4,4,15,4
"2025-04-01",51,28,34,5,5,16,4
"2025-05-01",49,28,33,4,2,15,4
"2025-06-01",49,30,65,4,2,15,4
"2025-07-01",52,33,42,4,1,17,4
"2025-08-01",63,64,37,6,3,24,6
"2025-09-01",71,69,32,6,3,25,7
"2025-10-01",64,64,38,6,3,24,6
"2025-11-01",65,69,43,6,3,24,6
"2025-12-01",66,61,38,6,2,22,6
"2026-01-01",69,62,39,6,2,24,6
"2026-02-01",89,100,43,8,4,31,9
"2026-03-01",92,93,43,7,4,31,7
"2026-04-01",85,76,34,7,3,27,6